trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,0.0005356812589563116,2,2,80000,0.5808390022675737,28.74235439300537
1,1.1020053804271901e-05,8,5,48000,0.9087301587301587,117.2990312576294
2,2.7004652448840093e-06,4,1,160000,0.8899092970521542,67.82594203948975
3,5.5565919484484124e-05,8,4,32000,0.14285714285714285,122.24680089950562
4,8.792365588326311e-05,5,5,48000,0.39739229024943307,64.69732189178467
5,1.8026826411602944e-06,6,1,112000,0.8495464852607709,101.50776076316833
6,1.7422715866961907e-05,1,3,64000,0.2276643990929705,12.935226202011108
0,0.000982969542796819,2,4,64000,0.5902494331065761,25.976593494415283
1,2.2808811593092166e-05,9,0,80000,0.9611111111111111,156.26804518699646
2,4.513893949493458e-06,4,4,48000,0.18948412698412698,51.48523163795471
3,0.0001570278992947686,6,2,160000,0.14285714285714285,98.86791849136353
4,5.7371689610461864e-05,4,0,160000,0.14285714285714285,72.45153832435608
5,2.0534704171392925e-06,7,5,32000,0.6244047619047618,99.4048285484314
6,1.2834259559537454e-05,2,1,112000,0.6770975056689341,30.469315767288208
0,0.00011215829286555468,7,4,48000,0.14285714285714285,103.79302310943604
1,1.6630263346551707e-06,1,1,160000,0.17460317460317462,13.211281776428223
2,1.054235837821795e-05,8,4,64000,0.9287981859410431,120.53059482574463
0,5.391102533959463e-05,7,2,64000,0.9142857142857144,116.7398099899292
1,7.431232180163733e-06,1,5,80000,0.3050453514739229,13.447229623794556
2,1.8799405630431585e-06,10,0,32000,0.7162131519274376,180.41414523124695
3,0.0002662509189658384,3,4,160000,0.5096371882086168,41.15658974647522
0,1.2358010754486485e-05,9,5,160000,0.9468253968253969,140.37927412986755
1,0.000131365565907626,1,0,48000,0.14285714285714285,17.580899000167847
0,1.2358010754486485e-05,9,5,160000,0.9492063492063492,4122.699193716049
1,0.000131365565907626,1,0,48000,0.14285714285714285,219.77246117591858
2,0.0004076675739931088,6,3,80000,0.14285714285714285,1418.0854835510254
3,4.450209767149518e-06,4,2,48000,0.723157596371882,720.6354219913483
4,1.2692055682895207e-06,7,0,64000,0.7706349206349206,1833.9999992847443
5,0.0004361002812039365,5,4,112000,0.14285714285714285,1351.9422624111176
6,4.287158665344996e-05,10,2,32000,0.41822562358276644,1548.3094820976257
7,1.4332693750513623e-05,2,4,112000,0.24022108843537415,503.7440502643585
8,8.372782025796683e-05,1,4,160000,0.4193877551020408,357.93036937713623
9,0.0002998227711778014,3,3,48000,0.5035147392290249,426.89998626708984
10,0.0002746832279022365,4,2,112000,0.14285714285714285,1325.5741577148438
11,0.00019435063294890285,1,0,64000,0.14285714285714285,284.6450912952423
12,0.001,6,0,112000,0.14285714285714285,2463.1595458984375
13,1.3827608255373683e-05,1,0,64000,0.7797902494331065,287.8085150718689
14,0.0005932270795956993,6,2,160000,0.14285714285714285,3030.6408035755157
15,0.0003397813292683491,5,0,80000,0.14285714285714285,1401.455596446991
