trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,4.0120806379223644e-05,6,0,64000,0.34579439252336447,3440.4533717632294
1,2.462483551095243e-06,2,5,80000,0.2336448598130841,807.3192050457001
2,9.867945633574274e-06,10,2,48000,0.9439252336448598,4317.61408996582
3,0.0009316917149386276,3,3,160000,0.5700934579439252,2393.2458493709564
4,0.00040410825027464186,8,4,160000,0.16822429906542055,6171.879291296005
5,2.5387171957815564e-05,5,1,32000,0.9158878504672897,1201.9353420734406
6,1.0678548936870925e-06,7,4,112000,0.6728971962616822,2959.9575073719025
7,0.00010324173588018583,1,2,64000,0.42990654205607476,219.38401222229004
8,0.00043779406668677956,10,5,160000,0.16822429906542055,6179.173174619675
9,0.00015336471127453164,10,2,160000,0.16822429906542055,6801.191190481186
10,5.835332632277834e-05,4,0,80000,0.40186915887850466,1537.0140688419342
11,0.001,9,0,160000,0.16822429906542055,6520.909820318222
12,1e-06,9,5,160000,0.6542056074766355,5433.292005062103
13,1e-06,3,5,64000,0.12149532710280374,657.3863697052002
14,1e-06,1,0,64000,0.514018691588785,337.78019070625305
15,6.812212884826851e-06,4,5,64000,0.2523364485981308,869.5548260211945
16,0.001,10,3,160000,0.16822429906542055,6553.199727296829
17,0.0007256825877277431,9,2,112000,0.16822429906542055,4255.918768167496
18,1e-06,1,5,64000,0.1588785046728972,215.73971581459045
19,0.001,8,0,80000,0.16822429906542055,3069.8189265727997
20,0.001,7,5,80000,0.1308411214953271,2013.6552846431732
21,0.001,6,3,64000,0.16822429906542055,1669.6783962249756
22,0.001,6,3,80000,0.16822429906542055,1896.7381813526154
23,0.001,8,4,80000,0.16822429906542055,2547.983139514923
24,0.0002997424623865576,7,5,80000,0.16822429906542055,2034.3204326629639
25,1e-06,2,5,64000,0.12149532710280374,433.69229459762573
26,0.001,4,5,64000,0.6448598130841121,880.1461505889893
27,0.001,7,2,80000,0.16822429906542055,2430.287095308304
28,0.001,7,5,64000,0.16822429906542055,1778.0324394702911
29,1e-06,2,5,48000,0.11214953271028037,346.5609681606293
30,3.780778783481081e-06,1,5,48000,0.32710280373831774,172.86905169487
31,0.00014120539915134594,7,0,112000,0.16822429906542055,4881.745931863785
32,0.001,8,5,160000,0.16822429906542055,7870.002747535706
33,0.0004885709406770905,10,0,112000,0.16822429906542055,8789.76484656334
34,0.0008915366407076864,6,0,64000,0.16822429906542055,3572.076409339905
35,2.83489094902892e-05,5,5,160000,0.48598130841121495,4199.844742059708
36,1e-06,3,5,48000,0.16822429906542055,878.6995103359222
37,0.00021841104244592834,9,0,160000,0.16822429906542055,11066.765679836273
38,0.001,8,0,32000,0.16822429906542055,3531.1743488311768
39,0.00036857712044276625,7,0,64000,0.16822429906542055,4148.508939027786
40,0.001,10,0,32000,0.16822429906542055,4025.712303876877
41,0.0003624358278283782,10,3,32000,0.16822429906542055,3493.2012252807617
42,0.000111876769022556,10,5,160000,0.16822429906542055,6982.517094612122
43,0.00013940956987465986,9,5,160000,0.16822429906542055,5445.071530342102
44,1e-06,2,5,160000,0.21495327102803738,1013.3227462768555
45,1e-06,2,5,32000,0.04672897196261682,252.30168867111206
46,1e-06,2,4,32000,0.14018691588785046,251.9549117088318
47,0.00010770483782288398,8,0,32000,0.16822429906542055,1778.5698428153992
48,1.8017352643490096e-06,3,5,32000,0.18691588785046728,383.211669921875
49,1e-06,1,5,32000,0.1588785046728972,128.05446600914001
